,iteration,filename,logit_1,logits_2,logits_3,logits_4,logits_5,rating
1675,real,real_im_580.png,1.5901752,-0.38563135,0.2515424,-0.3388732,-0.17764227,1
1676,real,real_im_557.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1677,real,real_im_231.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1678,real,real_im_225.png,1.550628,-0.5760927,0.23133469,-0.5147807,-0.3039304,1
1679,real,real_im_543.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1680,real,real_im_219.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1681,real,real_im_386.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1682,real,real_im_392.png,1.5756655,-0.52616453,-0.09955502,-0.55391884,-0.39805496,1
1683,real,real_im_1.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1684,real,real_im_423.png,1.5425787,-0.52098465,0.29851267,-0.4269422,-0.24823697,1
1685,real,real_im_345.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1686,real,real_im_14.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1687,real,real_im_351.png,1.5669705,-0.47680098,0.027937092,-0.4952692,-0.38013119,1
1688,real,real_im_437.png,1.7108973,-0.19652477,-0.0006149346,-0.47126934,-0.23616163,1
1689,real,real_im_379.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1690,real,real_im_28.png,1.6722444,-0.35960224,-0.00449247,-0.4796102,-0.28409517,1
1691,real,real_im_184.png,1.6153442,-0.30711818,0.28499562,-0.32326996,-0.1109165,1
1692,real,real_im_190.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1693,real,real_im_147.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1694,real,real_im_621.png,1.636871,-0.26769048,-0.030559883,-0.47943875,-0.27007622,1
1695,real,real_im_635.png,1.5959421,-0.40960225,0.21183206,-0.38981107,-0.23803352,1
1696,real,real_im_153.png,1.6352134,-0.35895324,-0.30500427,-0.6320236,-0.5339296,1
1697,real,real_im_609.png,1.64723,-0.25511158,0.14713348,-0.3335408,-0.11236835,1
1698,real,real_im_179.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1699,real,real_im_623.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1700,real,real_im_145.png,1.5630444,-0.47602925,0.27516696,-0.35309803,-0.21207333,1
1701,real,real_im_151.png,1.6812711,-0.26625204,0.06419984,-0.42350736,-0.22627997,1
1702,real,real_im_637.png,1.7008334,-0.26955593,0.043192647,-0.43391496,-0.23313855,1
1703,real,real_im_186.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1704,real,real_im_192.png,1.7060857,-0.1804124,0.21155442,-0.3444416,-0.10325337,1
1705,real,real_im_409.png,1.6176281,-0.31416982,0.1504405,-0.392848,-0.21939881,1
1706,real,real_im_347.png,1.5422897,-0.4895939,0.28639153,-0.37770358,-0.23113257,1
1707,real,real_im_421.png,1.5805421,-0.43422696,-0.10980386,-0.5793921,-0.3920911,1
1708,real,real_im_435.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1709,real,real_im_353.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1710,real,real_im_16.png,1.6583701,-0.3269232,0.035682417,-0.47144336,-0.24307744,1
1711,real,real_im_3.png,1.6230892,-0.36777332,0.18135631,-0.38587642,-0.22064137,1
1712,real,real_im_384.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1713,real,real_im_390.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1714,real,real_im_569.png,1.5741718,-0.4667154,0.23329036,-0.38602716,-0.25217068,1
1715,real,real_im_233.png,1.5475991,-0.48839617,0.28080198,-0.37559682,-0.23088588,1
1716,real,real_im_555.png,1.6396303,-0.36425847,-0.07828065,-0.52725774,-0.32243282,1
1717,real,real_im_541.png,1.6397909,-0.44954583,-0.081047006,-0.5639847,-0.35844544,1
1718,real,real_im_227.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1719,real,real_im_596.png,1.628572,-0.40441093,-0.06733445,-0.5287505,-0.34412688,1
1720,real,real_im_582.png,1.7064967,-0.21443723,-0.037041463,-0.49719772,-0.2731589,1
