,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
89,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,90,167,1,1,1452,1,real,0,566,6,0,0,2,1,1,3
90,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,91,45,2,1,707,2,1055,0,434,6,0,0,2,1,0,3
91,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,92,235,1,1,1885,1,real,0,466,6,0,0,2,1,1,3
92,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,93,26,2,1,676,2,344,0,462,6,0,0,2,1,0,3
93,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,94,215,1,1,880,1,real,0,415,6,0,0,2,1,1,3
94,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,95,58,2,1,819,2,1055,0,402,6,0,0,2,1,0,3
95,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,96,107,2,1,5058,2,24440,0,402,6,0,0,2,1,0,3
96,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,97,48,2,1,1058,2,1055,0,420,6,0,0,2,1,0,3
97,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,98,7,2,1,571,2,344,0,448,6,0,0,2,1,0,3
98,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,99,56,2,1,776,2,1055,0,600,6,0,0,2,1,0,3
99,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,100,192,1,1,1688,1,real,0,400,6,0,0,2,1,1,3
100,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,101,38,2,1,917,2,1055,0,423,6,0,0,2,1,0,3
101,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,102,172,1,1,1505,1,real,0,474,6,0,0,2,1,1,3
102,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,103,169,1,1,2252,1,real,0,539,6,0,0,2,1,1,3
103,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,104,37,2,1,721,2,1055,0,450,6,0,0,2,1,0,3
104,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,105,52,2,1,567,2,1055,0,433,6,0,0,2,1,0,3
105,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,106,137,1,2,841,2,60000,0,550,6,0,0,2,0,1,3
106,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,107,73,2,1,3921,2,7954,0,508,6,0,0,2,1,0,3
